target_id	length	eff_length	est_counts	tpm
rnd-1_family-443#LINE/RTE-BovB	165	33.5338	208.831	809.199
rnd-1_family-197#LINE/CR1	2655	2464.78	812.126	42.8143
rnd-1_family-66#LINE/RTE-BovB	793	602.849	1247.86	268.968
rnd-1_family-308#DNA/CMC-EnSpm	159	30.0387	280.53	1213.5
rnd-1_family-170#LINE/CR1	460	272.869	1417.22	674.878
rnd-1_family-217#Unknown	716	526.003	973	240.363
rnd-1_family-244#Unknown	115	11.1362	147.401	1719.91
rnd-1_family-262#Unknown	109	10.5578	28.7272	353.559
rnd-1_family-188#LINE/RTE-BovB	157	28.8821	310.687	1397.78
rnd-1_family-406#LINE/CR1-Zenon	199	53.9133	850.247	2049.24
rnd-1_family-89#LINE/CR1	1287	1096.78	40.6732	4.81874
rnd-1_family-5#LTR/Pao	2316	2125.78	3712.81	226.949
rnd-1_family-404#Unknown	495	306.846	667.76	282.776
rnd-1_family-291#LINE/RTE-BovB	728	538.003	53.2902	12.8708
rnd-1_family-105#LTR/Pao	2505	2314.78	790.42	44.3702
rnd-1_family-171#Unknown	211	61.4097	298.696	632.027
rnd-1_family-325#Unknown	228	72.569	186.991	334.822
rnd-1_family-86#LINE/CR1	1953	1762.78	405.86	29.9173
rnd-1_family-240#LINE/CR1	292	120.592	0	0
rnd-1_family-278#LINE/CR1	1154	963.778	15.6229	2.10634
rnd-1_family-270#LINE/Penelope	596	406.481	367.174	117.375
rnd-1_family-254#Unknown	218	65.7795	55.9396	110.502
rnd-1_family-121#Unknown	69	27.12	2021.87	9687.39
rnd-1_family-180#Unknown	73	28.0714	1938.51	8973.18
rnd-1_family-288#LTR/Gypsy	1018	827.778	190.743	29.9418
rnd-1_family-250#Unknown	154	27.3418	386.948	1838.95
rnd-1_family-409#Unknown	134	17.9196	41.8222	303.264
rnd-1_family-292#Unknown	124	14.181	706.055	6469.57
rnd-1_family-213#Unknown	98	12.2979	251.749	2660
rnd-1_family-426#Unknown	98	12.2979	280.82	2967.16
rnd-1_family-73#Unknown	1158	967.778	1818.72	244.193
rnd-1_family-414#Unknown	66	26.2174	445.239	2206.72
rnd-1_family-293#LTR/Copia	522	333.326	776.658	302.764
rnd-1_family-448#Unknown	521	332.326	6.33738	2.47793
rnd-1_family-220#Unknown	1327	1136.78	2135.87	244.142
rnd-1_family-94#LINE/Penelope	720	530.003	681.98	167.2
rnd-1_family-350#LINE/Rex-Babar	833	642.849	480.278	97.0795
rnd-1_family-39#LINE/CR1	3239	3048.78	59.6888	2.54396
rnd-1_family-4#Unknown	2139	1948.78	997.601	66.5178
rnd-1_family-140#Unknown	196	52.1331	976.163	2433.05
rnd-1_family-138#Unknown	320	144.067	171.106	154.327
rnd-1_family-87#Unknown	671	481.093	407.198	109.982
rnd-1_family-246#LTR/Gypsy	1108	917.778	741.482	104.98
rnd-1_family-362#Unknown	141	20.8844	46.802	291.196
rnd-1_family-289#Unknown	128	15.7056	4423.86	36600.8
rnd-1_family-277#LTR/Gypsy	535	346.083	0	0
rnd-1_family-12#LTR/Pao	1800	1609.78	4065.21	328.141
rnd-1_family-226#Unknown	301	128.165	230.686	233.881
rnd-1_family-112#Unknown	437	250.976	2227.87	1153.45
rnd-1_family-119#LINE/CR1	1172	981.778	121	16.0146
rnd-1_family-93#LINE/CR1	1821	1630.78	477.163	38.0203
rnd-1_family-24#Unknown	894	703.849	7693.25	1420.28
rnd-1_family-356#Unknown	243	83.1014	57.5259	89.9495
rnd-1_family-390#Unknown	217	65.1457	198.54	396.01
rnd-1_family-45#Unknown	848	657.849	338.904	66.9413
rnd-1_family-162#Unknown	171	36.823	230.816	814.499
rnd-1_family-313#LINE/CR1	677	487.093	1993.19	531.718
rnd-1_family-338#LINE/CR1	884	693.849	6	1.12365
rnd-1_family-333#LTR/Gypsy	1227	1036.78	4438.66	556.301
rnd-1_family-156#Unknown	94	20.494	128.578	815.237
rnd-1_family-353#Unknown	422	236.693	854.81	469.275
rnd-1_family-1#LINE/RTE-BovB	3241	3050.78	4934.39	210.168
rnd-1_family-35#Unknown	2383	2192.78	10177.6	603.109
rnd-1_family-60#LINE/CR1	1819	1628.78	198.789	15.8589
rnd-1_family-23#Unknown	3227	3036.78	685.989	29.3527
rnd-1_family-271#Unknown	402	217.815	1464	873.367
rnd-1_family-387#DNA/MULE-MuDR	918	727.849	15.1193	2.69919
