target_id	length	eff_length	est_counts	tpm
rnd-1_family-443#LINE/RTE-BovB	165	36.3492	89.9528	507.693
rnd-1_family-197#LINE/CR1	2655	2473.46	298.906	24.792
rnd-1_family-66#LINE/RTE-BovB	793	611.675	475.716	159.554
rnd-1_family-308#DNA/CMC-EnSpm	159	32.8562	159.157	993.775
rnd-1_family-170#LINE/CR1	460	281.563	582.728	424.592
rnd-1_family-217#Unknown	716	534.845	669	256.614
rnd-1_family-244#Unknown	115	12.2058	96.2222	1617.29
rnd-1_family-262#Unknown	109	10.5556	7.45194	144.834
rnd-1_family-188#LINE/RTE-BovB	157	31.7757	120.597	778.617
rnd-1_family-406#LINE/CR1-Zenon	199	57.5337	575.762	2053.06
rnd-1_family-89#LINE/CR1	1287	1105.46	28.5241	5.29361
rnd-1_family-5#LTR/Pao	2316	2134.46	2109.55	202.761
rnd-1_family-404#Unknown	495	315.575	434.711	282.605
rnd-1_family-291#LINE/RTE-BovB	728	546.845	27.5019	10.3176
rnd-1_family-105#LTR/Pao	2505	2323.46	639.906	56.502
rnd-1_family-171#Unknown	211	65.1315	82.4867	259.821
rnd-1_family-325#Unknown	228	76.9141	106.595	284.324
rnd-1_family-86#LINE/CR1	1953	1771.46	220.833	25.575
rnd-1_family-240#LINE/CR1	292	126.357	0	0
rnd-1_family-278#LINE/CR1	1154	972.456	6.92093	1.46008
rnd-1_family-270#LINE/Penelope	596	415.173	219.562	108.495
rnd-1_family-254#Unknown	218	69.8491	43.8095	128.673
rnd-1_family-121#Unknown	69	30.3846	951.02	6421.22
rnd-1_family-180#Unknown	73	28.4062	1385.55	10006.7
rnd-1_family-288#LTR/Gypsy	1018	836.456	80.416	19.7234
rnd-1_family-250#Unknown	154	30.1535	273.784	1862.74
rnd-1_family-409#Unknown	134	20.3683	42.6759	429.843
rnd-1_family-292#Unknown	124	16.2291	390.351	4934.51
rnd-1_family-213#Unknown	98	9.29618	194.235	4286.52
rnd-1_family-426#Unknown	98	9.29618	144	3177.9
rnd-1_family-73#Unknown	1158	976.456	991.249	208.263
rnd-1_family-414#Unknown	66	31.1304	267.403	1762.23
rnd-1_family-293#LTR/Copia	522	341.752	582.826	349.873
rnd-1_family-448#Unknown	521	340.752	8.37591	5.04285
rnd-1_family-220#Unknown	1327	1145.46	1488.05	266.515
rnd-1_family-94#LINE/Penelope	720	538.845	421.541	160.493
rnd-1_family-350#LINE/Rex-Babar	833	651.612	269.462	84.8379
rnd-1_family-39#LINE/CR1	3239	3057.46	35.2396	2.36457
rnd-1_family-4#Unknown	2139	1957.46	390.536	40.9308
rnd-1_family-140#Unknown	196	55.6199	848.703	3130.45
rnd-1_family-138#Unknown	320	150.45	94.2759	128.555
rnd-1_family-87#Unknown	671	489.947	360.831	151.09
rnd-1_family-246#LTR/Gypsy	1108	926.456	214.15	47.4214
rnd-1_family-362#Unknown	141	23.6481	3.97162	34.4551
rnd-1_family-289#Unknown	128	17.7934	3391.26	39100.7
rnd-1_family-277#LTR/Gypsy	535	354.507	1.00072	0.579121
rnd-1_family-12#LTR/Pao	1800	1618.46	1590.57	201.62
rnd-1_family-226#Unknown	301	133.931	225.658	345.662
rnd-1_family-112#Unknown	437	259.301	1803.08	1426.57
rnd-1_family-119#LINE/CR1	1172	990.456	65	13.4636
rnd-1_family-93#LINE/CR1	1821	1639.46	244.085	30.5437
rnd-1_family-24#Unknown	894	712.612	4318.17	1243.16
rnd-1_family-356#Unknown	243	88.1847	13.4213	31.2236
rnd-1_family-390#Unknown	217	69.1767	72.0697	213.734
rnd-1_family-45#Unknown	848	666.612	264.489	81.3985
rnd-1_family-162#Unknown	171	39.7895	142.37	734.061
rnd-1_family-313#LINE/CR1	677	495.897	1223.18	506.033
rnd-1_family-338#LINE/CR1	884	702.612	2	0.583977
rnd-1_family-333#LTR/Gypsy	1227	1045.46	4155.38	815.429
rnd-1_family-156#Unknown	94	15.9431	62.8515	808.77
rnd-1_family-353#Unknown	422	244.959	524.255	439.066
rnd-1_family-1#LINE/RTE-BovB	3241	3059.46	2180.89	146.242
rnd-1_family-35#Unknown	2383	2201.46	7608.59	709.048
rnd-1_family-60#LINE/CR1	1819	1637.46	74.9311	9.38802
rnd-1_family-23#Unknown	3227	3045.46	231.31	15.582
rnd-1_family-271#Unknown	402	225.98	1008	915.108
rnd-1_family-387#DNA/MULE-MuDR	918	736.612	2.75535	0.767395
rnd-1_family-316#Unknown	225	74.8431	774.51	2123.03
rnd-1_family-31#Unknown	360	186.301	6.04116e-05	6.65253e-05
rnd-1_family-355#LINE/CR1-Zenon	546	365.364	4695.63	2636.63
rnd-1_family-276#LINE/CR1-Zenon	1289	1107.46	2117.04	392.179
rnd-1_family-116#LINE/CR1	2689	2507.46	521.337	42.6547
