target_id	length	eff_length	est_counts	tpm
rnd-1_family-443#LINE/RTE-BovB	165	37.6742	48.8183	773.077
rnd-1_family-197#LINE/CR1	2655	2498.51	682.07	162.867
rnd-1_family-66#LINE/RTE-BovB	793	636.667	271.894	254.784
rnd-1_family-308#DNA/CMC-EnSpm	159	33.4409	26.3651	470.365
rnd-1_family-170#LINE/CR1	460	304.692	118.387	231.806
rnd-1_family-217#Unknown	716	559.667	400	426.398
rnd-1_family-244#Unknown	115	11.4268	70.5946	3685.81
rnd-1_family-262#Unknown	109	10.079	5.35536	316.996
rnd-1_family-188#LINE/RTE-BovB	157	32.2152	94.8794	1757.09
rnd-1_family-406#LINE/CR1-Zenon	199	63.3088	100.334	945.514
rnd-1_family-89#LINE/CR1	1287	1130.51	22.4261	11.8349
rnd-1_family-5#LTR/Pao	2316	2159.51	639.342	176.629
rnd-1_family-404#Unknown	495	339.278	91.2566	160.47
rnd-1_family-291#LINE/RTE-BovB	728	571.667	49.8349	52.0086
rnd-1_family-105#LTR/Pao	2505	2348.51	415.666	105.593
rnd-1_family-171#Unknown	211	72.6829	21.935	180.048
rnd-1_family-325#Unknown	228	86.4008	19.2867	133.175
rnd-1_family-86#LINE/CR1	1953	1796.51	92.0185	30.5583
rnd-1_family-240#LINE/CR1	292	141.714	1.03192	4.34426
rnd-1_family-278#LINE/CR1	1154	997.513	12	7.17707
rnd-1_family-270#LINE/Penelope	596	439.759	66.1362	89.7241
rnd-1_family-254#Unknown	218	78.2995	31.7821	242.163
rnd-1_family-121#Unknown	69	27.225	411.354	9014.31
rnd-1_family-180#Unknown	73	29.8095	3917.76	78409.2
rnd-1_family-288#LTR/Gypsy	1018	861.513	92.1856	63.8389
rnd-1_family-250#Unknown	154	30.4599	140.107	2744.2
rnd-1_family-409#Unknown	134	19.3012	28.8041	890.339
rnd-1_family-292#Unknown	124	14.6227	75.9712	3099.61
rnd-1_family-213#Unknown	98	10.7101	67.1884	3742.71
rnd-1_family-426#Unknown	98	10.7101	76.8505	4280.94
rnd-1_family-73#Unknown	1158	1001.51	200.669	119.539
rnd-1_family-414#Unknown	66	24.225	204.14	5027.45
rnd-1_family-293#LTR/Copia	522	366.031	219.707	358.105
rnd-1_family-448#Unknown	521	365.067	1.09342	1.78689
rnd-1_family-220#Unknown	1327	1170.51	327.065	166.703
rnd-1_family-94#LINE/Penelope	720	563.667	131.478	139.161
rnd-1_family-350#LINE/Rex-Babar	833	676.667	112.955	99.59
rnd-1_family-39#LINE/CR1	3239	3082.51	84.146	16.2859
rnd-1_family-4#Unknown	2139	1982.51	203.32	61.1854
rnd-1_family-140#Unknown	196	61.0368	484.258	4733.36
rnd-1_family-138#Unknown	320	167.807	61.7137	219.41
rnd-1_family-87#Unknown	671	514.667	66.2356	76.7803
rnd-1_family-246#LTR/Gypsy	1108	951.513	387.847	243.182
rnd-1_family-362#Unknown	141	22.9952	6.31934	163.953
rnd-1_family-289#Unknown	128	16.2177	1557.06	57280
rnd-1_family-277#LTR/Gypsy	535	378.918	1	1.57449
rnd-1_family-12#LTR/Pao	1800	1643.51	2268.76	823.567
rnd-1_family-226#Unknown	301	150.041	52.412	208.403
rnd-1_family-112#Unknown	437	281.835	337.638	714.726
rnd-1_family-119#LINE/CR1	1172	1015.51	26	15.2747
rnd-1_family-93#LINE/CR1	1821	1664.51	119.924	42.9836
rnd-1_family-24#Unknown	894	737.595	906.376	733.12
rnd-1_family-356#Unknown	243	99.0002	85.151	513.143
rnd-1_family-390#Unknown	217	77.4412	22.1042	170.289
rnd-1_family-45#Unknown	848	691.667	282.642	243.795
rnd-1_family-162#Unknown	171	41.9024	16.8178	239.45
rnd-1_family-313#LINE/CR1	677	520.667	425.252	487.271
rnd-1_family-338#LINE/CR1	884	727.595	44	36.0784
rnd-1_family-333#LTR/Gypsy	1227	1070.51	1328.93	740.619
rnd-1_family-156#Unknown	94	19.8931	22.0807	662.209
rnd-1_family-353#Unknown	422	267.054	288.04	643.484
rnd-1_family-1#LINE/RTE-BovB	3241	3084.51	2115.13	409.105
rnd-1_family-35#Unknown	2383	2226.51	1083.28	290.269
rnd-1_family-60#LINE/CR1	1819	1662.51	99.6025	35.7429
rnd-1_family-23#Unknown	3227	3070.51	242.518	47.1214
rnd-1_family-271#Unknown	402	247.209	413	996.713
rnd-1_family-387#DNA/MULE-MuDR	918	761.595	5.30694	4.15723
rnd-1_family-316#Unknown	225	83.8281	248.973	1771.93
rnd-1_family-31#Unknown	360	206.068	65.3977	189.337
rnd-1_family-355#LINE/CR1-Zenon	546	389.842	503.304	770.242
rnd-1_family-276#LINE/CR1-Zenon	1289	1132.51	665.2	350.424
rnd-1_family-116#LINE/CR1	2689	2532.51	187.262	44.1146
rnd-1_family-232#LINE/Penelope	526	370.031	202.346	326.242
rnd-1_family-64#LINE/RTE-BovB	653	496.667	1787.58	2147.26
rnd-1_family-173#LINE/RTE-BovB	288	137.988	383.806	1659.41
rnd-1_family-55#DNA/hAT-Charlie	441	285.75	112.248	234.356
rnd-1_family-416#Unknown	95	15.6404	92	3509.32
rnd-1_family-158#Unknown	311	159.442	75.0425	280.795
rnd-1_family-377#Unknown	545	388.842	1641.55	2518.63
rnd-1_family-113#LINE/RTE-BovB	455	299.692	566.885	1128.51
rnd-1_family-125#LTR/Pao	1934	1777.51	1330.68	446.629
rnd-1_family-136#Unknown	110	10.1159	19.3565	1141.58
rnd-1_family-321#Unknown	356	202.191	595.122	1756.01
rnd-1_family-183#Unknown	168	39.7332	271.782	4080.86
rnd-1_family-2#LINE/RTE-BovB	1404	1247.51	3404.57	1628.18
rnd-1_family-275#Unknown	56	18.6875	10	319.252
rnd-1_family-102#Unknown	168	39.7332	120.091	1803.19
rnd-1_family-219#Unknown	489	333.345	43.0694	77.0831
rnd-1_family-405#Unknown	718	561.667	90.2639	95.8782
rnd-1_family-199#Unknown	71	29.225	10.9043	222.602
rnd-1_family-408#Unknown	190	56.4207	26.205	277.096
rnd-1_family-309#Unknown	57	19.6875	0	0
rnd-1_family-68#DNA/CMC-EnSpm	1936	1779.51	1399.47	469.188
rnd-1_family-131#Unknown	205	68.0479	3.09537	27.1383
rnd-1_family-264#Unknown	249	104.081	0	0
rnd-1_family-127#LINE/RTE-BovB	1529	1372.51	1145.99	498.137
rnd-1_family-134#Unknown	350	196.413	93.8388	285.034
rnd-1_family-128#LINE/RTE-BovB	604	447.759	555.855	740.63
rnd-1_family-56#LINE/RTE-BovB	111	10.3686	304.222	17504.6
rnd-1_family-92#LINE/CR1	1958	1801.51	316.996	104.979
rnd-1_family-187#LINE/CR1	1334	1177.51	19.7876	10.0257
rnd-1_family-111#LINE/Penelope	962	805.595	776.501	575.056
rnd-1_family-88#LINE/CR1	1195	1038.51	5	2.87238
rnd-1_family-393#LINE/CR1	2002	1845.51	373.183	120.639
rnd-1_family-310#Unknown	103	9.20088	33.6152	2179.67
rnd-1_family-25#Unknown	665	508.667	21.4072	25.108
rnd-1_family-50#LINE/CR1	2858	2701.51	81.1237	17.9153
rnd-1_family-155#Unknown	153	29.8364	5.4641	109.259
rnd-1_family-147#LTR/Gypsy	2678	2521.51	3812.94	902.159
rnd-1_family-13#DNA/CMC-EnSpm	731	574.667	1795.84	1864.39
rnd-1_family-71#LINE/CR1	1167	1010.51	109.225	64.4858
rnd-1_family-22#LINE/CR1	2446	2289.51	541.578	141.125
rnd-1_family-0#LINE/RTE-BovB	1756	1599.51	1410.22	525.997
rnd-1_family-330#Unknown	698	541.667	211.018	232.419
rnd-1_family-281#LINE/CR1	1069	912.513	5	3.269
rnd-1_family-422#Unknown	61	20.9459	1	28.4829
rnd-1_family-16#Unknown	2306	2149.51	1335	370.532
rnd-1_family-357#DNA/CMC-EnSpm	634	477.667	90.3757	112.878
rnd-1_family-222#LINE/Penelope	711	554.667	21.2865	22.8958
rnd-1_family-241#Unknown	428	272.919	233.389	510.188
rnd-1_family-328#Unknown	289	138.946	41.0142	176.106
rnd-1_family-99#LINE/RTE-BovB	153	29.8364	141.819	2835.76
rnd-1_family-166#LINE/RTE-BovB	605	448.759	21.1638	28.1362
rnd-1_family-34#LINE/CR1	2418	2261.51	1416.42	373.66
rnd-1_family-42#Unknown	1397	1240.51	58.539	28.1532
rnd-1_family-354#LINE/Penelope	480	324.411	0	0
rnd-1_family-38#Unknown	168	39.7332	7.97384	119.729
rnd-1_family-182#Unknown	150	28.0427	76.2946	1623.15
rnd-1_family-437#Unknown	68	26.225	64.1066	1458.38
rnd-1_family-15#Unknown	356	202.191	280.754	828.414
rnd-1_family-10#SINE/tRNA	273	124.838	1635.67	7816.87
rnd-1_family-70#LINE/RTE-BovB	759	602.667	344.528	341.061
rnd-1_family-305#LINE/CR1	683	526.667	111	125.739
rnd-1_family-327#LINE/CR1	1297	1140.51	15.9777	8.35791
rnd-1_family-184#LTR/Gypsy	1889	1732.51	1400.36	482.223
rnd-1_family-378#Unknown	166	38.3564	38.4836	598.581
rnd-1_family-62#LINE/RTE-BovB	382	227.471	635.427	1666.57
rnd-1_family-302#Unknown	352	198.353	72.7739	218.888
rnd-1_family-224#LINE/Penelope	600	443.759	103	138.476
rnd-1_family-36#LINE/RTE-BovB	730	573.667	372.676	387.575
rnd-1_family-235#Unknown	328	175.423	139	472.728
rnd-1_family-167#LINE/CR1	785	628.667	12.9859	12.3235
rnd-1_family-168#LINE/Penelope	666	509.667	42.1133	49.2967
rnd-1_family-361#LINE/RTE-BovB	352	198.353	287	863.233
rnd-1_family-137#Unknown	402	247.209	280.536	677.031
rnd-1_family-190#LINE/L1-DRE	342	188.742	78.4879	248.095
rnd-1_family-198#LINE/CR1	1089	932.513	423.44	270.908
rnd-1_family-126#Unknown	528	372.031	72.5247	116.303
rnd-1_family-284#Unknown	300	149.102	249.831	999.645
rnd-1_family-27#LINE/RTE-BovB	1700	1543.51	2359.07	911.831
rnd-1_family-392#Unknown	156	31.6281	6	113.178
rnd-1_family-203#Unknown	329	176.37	20.2299	68.431
rnd-1_family-48#DNA/CMC-EnSpm	569	412.801	315.687	456.248
rnd-1_family-202#LTR/Pao	1044	887.513	33.1599	22.2907
rnd-1_family-185#Unknown	155	30.9892	15.4277	297.012
rnd-1_family-163#LINE/Penelope	1092	935.513	111.743	71.2614
rnd-1_family-301#Unknown	356	202.191	458.922	1354.13
rnd-1_family-287#Unknown	422	267.054	176.022	393.236
rnd-1_family-205#LINE/RTE-BovB	241	97.2232	86.4556	530.527
rnd-1_family-85#Unknown	1325	1168.51	500.332	255.452
rnd-1_family-231#Unknown	512	356.14	44.4694	74.4947
rnd-1_family-144#LINE/Penelope	1243	1086.51	345.85	189.906
rnd-1_family-20#LINE/RTE-BovB	1537	1380.51	3297.37	1424.99
rnd-1_family-318#Unknown	74	30.8095	9.38479	181.729
